angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,norm_scale,label
0.913,92.591,10007.172,7786.5,0.087,0.903,0.501284287,0.262373694,0.308885195,0.3125,a
0.913,92.863,10296.598,7953.5,0.088,0.9,0.503620916,0.271638332,0.317172419,0.316964286,a
0.908,94.154,10484.22,8124.5,0.09,0.898,0.514711315,0.277644184,0.32565814,0.325892857,a
0.911,95.032,10601.605,8211,0.091,0.902,0.522253816,0.281401723,0.329950624,0.330357143,a
0.911,96.082,10566.811,8256.5,0.092,0.898,0.531273892,0.280287954,0.33220852,0.334821429,a
0.915,96.323,10611.988,8357.5,0.093,0.893,0.533344215,0.281734087,0.337220554,0.339285714,a
0.916,94.755,10577.715,8277.5,0.092,0.898,0.519874234,0.280636995,0.333250627,0.334821429,a
0.906,92.101,10162.326,7953.5,0.088,0.913,0.497074918,0.267340233,0.317172419,0.316964286,a
0.912,92.9,10452.533,8073.5,0.09,0.912,0.503938767,0.276629871,0.323127311,0.325892857,a
0.939,91.744,10493.783,8127.5,0.09,0.912,0.494008092,0.2779503,0.325807012,0.325892857,a
0.963,90.024,10626.869,8343,0.093,0.919,0.479232349,0.282210434,0.336501005,0.339285714,a
0.974,91.392,10587.542,8371.5,0.093,0.921,0.490984219,0.280951561,0.337915292,0.339285714,a
0.988,89.45,9975.809,8172.5,0.091,0.921,0.474301374,0.261369753,0.328040096,0.330357143,a
0.982,89.447,10045.92,8041,0.089,0.925,0.474275602,0.263614033,0.321514527,0.321428571,a
0.972,87.959,10281.772,8197,0.091,0.925,0.461492866,0.271163746,0.329255887,0.330357143,a
0.947,92.099,10126.329,8369.5,0.093,0.922,0.497057737,0.266187956,0.337816043,0.339285714,a
0.942,86.44,10325.208,8050.5,0.089,0.929,0.448443822,0.272554149,0.321985956,0.321428571,a
0.936,92.057,9815.922,8184.5,0.091,0.913,0.496696934,0.256251708,0.328635585,0.330357143,a
0.933,95.676,10329.181,8414,0.093,0.905,0.52778613,0.272681326,0.340024316,0.339285714,a
0.975,84.78,8658.394,6917,0.077,0.919,0.434183511,0.219198792,0.265737042,0.267857143,a
0.956,84.742,8177.433,6483.5,0.072,0.914,0.43385707,0.203803045,0.244224996,0.245535714,a
0.959,84.467,7888.1,6342,0.07,0.92,0.43149467,0.194541384,0.237203186,0.236607143,a
0.971,83.49,7844.996,6263,0.07,0.924,0.423101704,0.193161609,0.233282882,0.236607143,a
0.985,82.093,7890.955,6219,0.069,0.924,0.411100707,0.194632774,0.231099422,0.232142857,a
0.985,83.495,7823.692,6240,0.069,0.916,0.423144656,0.192479659,0.232141528,0.232142857,a
0.945,84.958,8045.038,6332,0.07,0.918,0.435712629,0.19956503,0.236706945,0.236607143,a
0.919,86.005,7812.173,6281.5,0.07,0.918,0.444706933,0.192110932,0.234200928,0.236607143,a
0.903,86.325,7925.292,6295.5,0.07,0.922,0.447455909,0.195731915,0.234895665,0.236607143,a
0.894,85.346,7983.289,6242,0.069,0.925,0.439045762,0.197588421,0.232240776,0.232142857,a
0.876,85.676,7937.497,6227,0.069,0.919,0.441880643,0.196122601,0.231496415,0.232142857,a
0.849,85.077,7904.074,6018,0.067,0.92,0.436734904,0.195052718,0.221124978,0.223214286,a
0.88,83.61,7632.488,5806.5,0.065,0.921,0.424132569,0.186359146,0.210629482,0.214285714,a
0.899,82.334,7746.109,5741.5,0.064,0.923,0.413171029,0.189996198,0.207403915,0.209821429,a
0.92,81.558,7407.29,5701.5,0.063,0.918,0.406504763,0.179150471,0.205418951,0.205357143,a
0.931,82.049,7265.192,5653.5,0.063,0.918,0.410722723,0.17460186,0.203036995,0.205357143,a
0.95,80.718,7333.397,5601.5,0.062,0.916,0.399288703,0.176785128,0.200456542,0.200892857,a
0.961,78.826,7095.74,5497,0.061,0.913,0.383035384,0.169177636,0.195270824,0.196428571,a
0.968,80.026,6893.654,5440.5,0.06,0.911,0.393344043,0.162708785,0.192467062,0.191964286,a
0.984,77.792,6875.818,5400.5,0.06,0.912,0.374152757,0.162137848,0.190482098,0.191964286,a
0.987,76.663,6951.813,5352,0.059,0.908,0.364454028,0.164570477,0.188075329,0.1875,a
0.996,77.337,6784.6,5245.5,0.058,0.913,0.370244057,0.159217925,0.182790363,0.183035714,a
0.99,75.338,6704.479,5169,0.057,0.911,0.353071551,0.156653221,0.17899412,0.178571429,a
0.989,76.275,6550.96,5206,0.058,0.909,0.361120895,0.151739019,0.180830211,0.183035714,a
0.976,75.084,6636.606,5185,0.058,0.912,0.350889551,0.15448058,0.179788105,0.183035714,a
0.965,73.407,6564.871,5141.5,0.057,0.91,0.336483201,0.152184315,0.177629457,0.178571429,a
0.966,71.75,6116.459,4851.5,0.054,0.91,0.322248662,0.137830474,0.163238469,0.165178571,a
0.981,68.177,5551.931,4617,0.051,0.911,0.291554632,0.119759716,0.151601618,0.151785714,a
0.978,69.05,5370.25,4644,0.052,0.902,0.299054181,0.113944037,0.152941468,0.15625,a
0.991,68.853,5356.601,4656.5,0.052,0.899,0.297361843,0.113507128,0.15356177,0.15625,a
0.989,68.265,5470.222,4684,0.052,0.904,0.2923106,0.117144179,0.154926432,0.15625,a
0.998,69.416,5516.701,4716.5,0.052,0.891,0.302198321,0.11863199,0.156539215,0.15625,a
0.987,69.379,5443.408,4678.5,0.052,0.906,0.301880471,0.116285853,0.1546535,0.15625,a
0.994,69.284,5412.608,4601.5,0.051,0.904,0.301064369,0.115299933,0.150832444,0.151785714,a
0.984,68.78,5614.964,4593,0.051,0.915,0.296734732,0.121777427,0.150410639,0.151785714,a
0.986,69.763,5642.9,4623.5,0.051,0.912,0.305179242,0.122671669,0.151924174,0.151785714,a
0.995,70.294,5623.117,4529.5,0.05,0.911,0.309740823,0.122038407,0.147259509,0.147321429,a
0.777,41.048,2367.863,2235.5,0.025,0.464,0.058501636,0.017836474,0.03342183,0.035714286,a
0.792,41.358,2401.612,2243,0.025,0.545,0.061164707,0.018916793,0.03379401,0.035714286,a
0.776,41.725,2396.712,2228,0.025,0.532,0.064317438,0.018759942,0.033049649,0.035714286,a
0.705,42.254,2461.86,2282,0.025,0.508,0.068861838,0.020845355,0.03572935,0.035714286,a
0.815,42.367,2480.819,2303,0.026,0.51,0.06983257,0.021452239,0.036771456,0.040178571,a
0.796,41.88,2446.893,2322,0.026,0.424,0.065648973,0.020366255,0.037714314,0.040178571,a
0.941,67.92,5600.437,4357,0.048,0.908,0.289346861,0.121312412,0.138699352,0.138392857,a
0.937,68.614,5461.019,4317.5,0.048,0.912,0.295308701,0.116849588,0.136739201,0.138392857,a
0.936,69.011,5436.452,4307,0.048,0.902,0.298719149,0.116063189,0.136218148,0.138392857,a
0.935,67.247,5384.765,4256.5,0.047,0.907,0.283565421,0.114408668,0.133712131,0.133928571,a
0.936,68.831,5346.041,4227,0.047,0.902,0.29717285,0.113169098,0.13224822,0.133928571,a
0.88,42.464,2392.289,2247,0.025,0.497,0.070665853,0.01861836,0.033992507,0.035714286,a
0.882,41.206,2274.521,2111.5,0.023,0.536,0.059858943,0.014848561,0.027268442,0.026785714,a
0.871,41.405,2276.236,2125,0.024,0.549,0.061568462,0.014903459,0.027938367,0.03125,a
0.841,40.496,2321.938,2136.5,0.024,0.57,0.053759654,0.016366398,0.028509044,0.03125,a
0.987,69.915,5366.944,4315.5,0.048,0.922,0.306485005,0.113838211,0.136639952,0.138392857,a
0.784,40.338,2283.931,2129,0.024,0.551,0.052402347,0.015149779,0.028136863,0.03125,a
0.984,69.842,5339.756,4255.5,0.047,0.922,0.305857895,0.112967913,0.133662507,0.133928571,a
0.993,70.633,5286.038,4221.5,0.047,0.921,0.312653019,0.111248379,0.131975287,0.133928571,a
0.978,67.494,5264.952,4219,0.047,0.921,0.285687287,0.110573408,0.131851227,0.133928571,a
0.987,67.805,5297.07,4216,0.047,0.927,0.288358947,0.111601517,0.131702355,0.133928571,a
0.983,67.806,5252.679,4213,0.047,0.92,0.288367538,0.110180544,0.131553482,0.133928571,a
0.973,66.806,5246.479,4225,0.047,0.917,0.279776989,0.10998208,0.132148972,0.133928571,a
0.968,67.322,5197.581,4205.5,0.047,0.917,0.284209712,0.108416836,0.131181302,0.133928571,a
0.751,40.25,2329.408,2173,0.024,0.544,0.051646379,0.016605515,0.030320324,0.03125,a
0.985,69.564,5539.784,4445,0.049,0.927,0.303469723,0.119370886,0.143066273,0.142857143,a
0.677,41.141,2440.989,2284,0.025,0.522,0.059300558,0.020177266,0.035828598,0.035714286,a
0.983,70.689,5791.603,4632.5,0.051,0.918,0.31313409,0.127431709,0.152370791,0.151785714,a
0.972,72.56,6116.415,4791,0.053,0.915,0.329207006,0.137829066,0.160236211,0.160714286,a
0.975,74.208,6212.183,4949,0.055,0.912,0.343364231,0.140894636,0.168076818,0.169642857,a
0.988,76.423,6418.313,5182.5,0.058,0.915,0.362392296,0.147492937,0.179664045,0.183035714,a
0.974,75.59,6671.669,5366,0.06,0.914,0.355236369,0.15560296,0.188770067,0.191964286,a
0.979,77.906,6862.959,5567,0.062,0.918,0.37513208,0.161726227,0.19874451,0.200892857,a
0.981,84.682,8523.32,6641.5,0.074,0.912,0.433341638,0.214875021,0.252065603,0.254464286,a
0.987,89.146,8786.821,7049,0.078,0.904,0.471689847,0.223309789,0.272287423,0.272321429,a
0.98,88.109,8841.652,7057,0.078,0.903,0.462781448,0.225064951,0.272684416,0.272321429,a
0.969,87.413,8839.697,7041,0.078,0.908,0.456802426,0.22500237,0.27189043,0.272321429,a
0.949,87.579,8979.512,7044,0.078,0.907,0.458228457,0.229477902,0.272039302,0.272321429,a
0.939,86.233,8997.045,6999,0.078,0.906,0.446665579,0.23003914,0.269806218,0.272321429,a
0.916,88.234,9108.289,7043.5,0.078,0.915,0.463855266,0.233600104,0.27201449,0.272321429,a
0.862,88.571,9248.28,6778,0.075,0.915,0.466750281,0.238081269,0.258839292,0.258928571,a
0.862,87.788,8853.681,6682.5,0.074,0.906,0.460023882,0.225450004,0.254100191,0.254464286,a
0.885,88.365,8985.714,6629,0.074,0.92,0.464980628,0.229676431,0.251445302,0.254464286,a
0.895,88.122,8955.287,6544,0.073,0.92,0.462893125,0.228702451,0.247227254,0.25,a
0.614,54.246,3749.521,3249.5,0.036,0.725,0.171879698,0.062063879,0.083740664,0.084821429,a
0.935,84.444,8615.125,6507,0.072,0.914,0.431297087,0.217813734,0.245391162,0.245535714,a
0.962,83.34,8376.152,6465,0.072,0.914,0.421813121,0.210164117,0.24330695,0.245535714,a
0.966,82.899,8381.856,6451,0.072,0.913,0.418024689,0.210346704,0.242612212,0.245535714,a
0.973,81.994,8119.837,6412.5,0.071,0.906,0.410250243,0.201959375,0.240701685,0.241071429,a
0.519,49.87,3558.964,3219.5,0.036,0.656,0.134287457,0.055964076,0.082251942,0.084821429,a
0.983,88.485,8762.16,6533.5,0.073,0.927,0.466011494,0.222520381,0.246706201,0.25,a
0.993,88.764,8569.618,6658,0.074,0.929,0.468408257,0.216357038,0.252884401,0.254464286,a
