r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
252.967,9,0.952,36,80,0.279040212,9,88.011,0.348,0.428767685,2
251.885,8,0.953,37,81,0.267287263,8,89.734,0.356,0.449531224,2
253.935,8,0.945,36,84,0.289554865,8,92.58,0.365,0.483827818,2
249.588,7,0.945,38,85,0.242336686,7,94.115,0.377,0.502325806,2
246.514,7,0.949,39,88,0.208946145,7,96.551,0.392,0.531681569,2
245.061,6,0.938,40,90,0.193163303,6,99.045,0.404,0.56173628,2
241.863,5,0.95,41,92,0.158425843,5,101.784,0.421,0.594743438,2
245.155,4,0.951,42,97,0.194184354,4,106.745,0.435,0.654527488,2
240.276,3,0.951,43,99,0.141187461,3,108.124,0.45,0.67114555,2
235.771,3,0.952,44,99,0.092253047,3,109.044,0.463,0.682232291,2
240.904,3,0.939,45,102,0.14800895,3,112.422,0.467,0.722939915,2
244.408,3,0.947,45,105,0.186070257,3,114.566,0.469,0.748776843,2
242.465,3,0.942,44,102,0.164964915,3,112.14,0.463,0.719541587,2
245.153,4,0.952,44,102,0.19416263,4,111.34,0.454,0.709900942,2
234.949,5,0.946,42,94,0.083324281,5,103.769,0.442,0.618664289,2
240.057,6,0.948,42,93,0.138808629,6,102.524,0.427,0.603661035,2
248.025,7,0.952,42,92,0.225358997,7,102.31,0.412,0.601082162,2
249.741,8,0.949,43,89,0.24399861,8,99.897,0.4,0.572003567,2
255.45,9,0.942,42,90,0.306011166,9,99.519,0.39,0.567448362,2
265.68,10,0.945,39,92,0.417131933,10,100.737,0.379,0.582126244,2
277.321,11,0.942,39,94,0.543579327,11,102.84,0.371,0.60746909,2
276.193,11,0.948,37,93,0.531326715,11,100.695,0.365,0.58162011,2
277.865,11,0.947,38,91,0.549488388,11,99.568,0.358,0.568038852,2
276.806,12,0.946,38,90,0.537985271,12,98.035,0.354,0.549564966,2
279.278,11,0.946,36,90,0.56483674,11,97.747,0.35,0.546094334,2
