angle_90,r,area_ellipse,area_contour,proportion,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.063,68.674,5066.195,4168.5,0.554,0.823,0.190897014,0.069070301,0.073102806,0
0.062,68.055,5211.554,4264.5,0.557,0.848,0.187981082,0.071482689,0.075183407,0
0.104,71.418,5389.868,4440.5,0.544,0.848,0.203823216,0.074442,0.078997844,0
0.091,72.069,5534.348,4501.5,0.527,0.849,0.206889892,0.076839799,0.080319893,0
0.131,71.644,5592.684,4591.5,0.533,0.856,0.204887838,0.077807947,0.082270457,0
0.13,71.606,5482.827,4619.5,0.537,0.853,0.204708831,0.075984753,0.082877299,0
0.161,73.259,5450.664,4665,0.53,0.855,0.212495643,0.075450974,0.083863417,0
0.151,73.385,5622.738,4659,0.532,0.868,0.213089193,0.078306725,0.08373338,0
0.142,73.26,5721.899,4728,0.529,0.856,0.212500353,0.079952408,0.085228812,0
0.132,73.173,5646.257,4760,0.532,0.859,0.212090521,0.078697048,0.085922346,0
0.139,73.738,6009.776,4806,0.526,0.87,0.214752075,0.084730033,0.086919301,0
0.139,73.414,5831.26,4810.5,0.53,0.858,0.213225803,0.08176737,0.087016829,0
0.128,72.978,5827.282,4857.5,0.531,0.862,0.211171932,0.081701351,0.088035457,0
0.132,78.531,6515.6,5542,0.543,0.873,0.237330532,0.093124721,0.10287058,0
0.134,85.016,7605.736,6382.5,0.539,0.875,0.267879519,0.11121669,0.121086681,0
0.13,86.351,7818.001,6517.5,0.532,0.872,0.274168323,0.114739454,0.124012527,0
0.121,87.54,8023.028,6625,0.538,0.889,0.279769363,0.118142095,0.126342367,0
0.134,87.551,7850.961,6692,0.536,0.883,0.279821181,0.11528646,0.127794454,0
0.123,89.408,8039.237,6769,0.522,0.875,0.288568979,0.118411101,0.12946327,0
0.117,88.26,8064.863,6831.5,0.53,0.883,0.283161078,0.118836391,0.130817828,0
0.106,89.834,8222.41,6918,0.527,0.882,0.290575744,0.121451052,0.132692537,0
0.102,88.117,8509.285,6959.5,0.537,0.886,0.282487446,0.126212048,0.133591964,0
0.116,88.763,8303.29,7056.5,0.541,0.882,0.285530568,0.122793342,0.135694238,0
0.117,91.058,8408.176,7125.5,0.543,0.886,0.296341659,0.124534036,0.137189671,0
0.098,91.872,8515.482,7215.5,0.537,0.883,0.300176181,0.126314894,0.139140235,0
0.103,92.914,8609.008,7277,0.531,0.876,0.305084746,0.127867057,0.14047312,0
0.094,91.826,8761.151,7392.5,0.537,0.877,0.299959488,0.130392033,0.142976344,0
0.09,92.252,8855.452,7479,0.536,0.886,0.301966252,0.131957058,0.144851053,0
0.076,92.786,9018.324,7579.5,0.54,0.884,0.304481774,0.134660093,0.147029183,0
0.091,94.292,9082.707,7728,0.538,0.883,0.311576111,0.135728597,0.150247613,0
0.091,93.607,8998.594,7794.5,0.549,0.883,0.308349271,0.134332652,0.151688863,0
0.083,93.942,9061.027,7867.5,0.545,0.884,0.309927361,0.135368794,0.153270988,0
0.064,94.68,9169.552,7896.5,0.54,0.881,0.313403868,0.137169882,0.153899503,0
0.057,94.072,9340.564,7930,0.549,0.889,0.310539754,0.140008009,0.154625546,0
0.084,92.993,9208.616,7814,0.541,0.869,0.305456892,0.137818191,0.152111486,0
0.114,89.814,8466.109,7102,0.529,0.867,0.290481529,0.125495496,0.136680357,0
0.106,90.696,8452.135,7097.5,0.531,0.867,0.29463638,0.125263583,0.136582829,0
0.115,90.984,8498.832,7058.5,0.528,0.875,0.295993066,0.126038569,0.135737584,0
0.122,90.156,8489.82,7105,0.523,0.867,0.292092594,0.125889006,0.136745376,0
0.127,89.777,8533.515,7090,0.528,0.874,0.290307233,0.126614171,0.136420282,0
0.107,89.263,8297.492,7009.5,0.532,0.863,0.287885925,0.122697118,0.13467561,0
0.124,89.529,8354.026,7038,0.53,0.881,0.289138976,0.123635359,0.135293289,0
0.12,89.792,8380.831,7032,0.524,0.869,0.290377894,0.124080217,0.135163251,0
0.12,90.757,8594.229,7084.5,0.528,0.868,0.294923734,0.127621784,0.13630108,0
0.096,89.869,8519.055,7097.5,0.525,0.868,0.290740619,0.126374192,0.136582829,0
0.119,90.085,8700.528,7171,0.527,0.879,0.291758133,0.129385929,0.138175789,0
0.111,89.88,8913.41,7229.5,0.525,0.869,0.290792436,0.132918933,0.139443656,0
0.129,90.752,8673.145,7216.5,0.524,0.871,0.29490018,0.128931479,0.139161908,0
0.133,90.596,8519.6,7251.5,0.53,0.868,0.294165308,0.126383236,0.13992046,0
0.118,90.852,8555.079,7270,0.541,0.875,0.295371251,0.126972048,0.14032141,0
0.12,91.41,8598.833,7270,0.531,0.875,0.29799983,0.127698192,0.14032141,0
0.11,92.559,8750.191,7344,0.537,0.877,0.303412442,0.13021014,0.141925207,0
