angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.451,114.989,17272.323,13690,0.219,0.873,0.860041657,0.776460019,0.890650711,a
0.447,114.782,17400.008,13100,0.21,0.87,0.856673284,0.784881109,0.831812516,a
0.447,113.883,16963.99,13199.5,0.211,0.876,0.842044456,0.75612482,0.841735228,a
0.454,113.928,17160.918,13321,0.213,0.876,0.842776711,0.769112629,0.853851907,a
0.453,112.242,16703.904,12997.5,0.208,0.882,0.815341556,0.738971611,0.821590626,a
0.454,112.342,16708.103,13140,0.21,0.877,0.81696879,0.739248543,0.835801546,a
0.454,110.589,16433.912,12456.5,0.199,0.881,0.788443389,0.72116508,0.767638993,a
0.454,110.312,16261.798,12656.5,0.203,0.879,0.783935952,0.709813806,0.787584144,a
0.451,108.92,16104.295,12733.5,0.204,0.877,0.761284863,0.699426158,0.795263027,a
0.45,109.263,16279.113,12548.5,0.201,0.861,0.766866274,0.710955766,0.776813762,a
0.45,107.629,15759.211,12518.5,0.2,0.882,0.740277281,0.676667154,0.77382199,a
0.457,107.012,15479.904,12317.5,0.197,0.889,0.730237251,0.65824628,0.753777113,a
0.455,107.906,15499.378,12159,0.195,0.881,0.744784717,0.659530631,0.737970581,a
0.457,107.992,15714.065,12285.5,0.197,0.882,0.746184138,0.673689682,0.750585889,a
0.455,106.081,15214.004,11974.5,0.192,0.885,0.715087708,0.640709626,0.719571179,a
0.453,105.798,15083.266,12123.5,0.194,0.89,0.710482637,0.632087184,0.734430317,a
0.456,106.363,15388.266,12044,0.193,0.884,0.719676506,0.652202565,0.726502119,a
0.449,104.747,14919.286,11863,0.19,0.884,0.693380415,0.621272364,0.708451758,a
0.451,105.799,15317.239,11985,0.192,0.877,0.71049891,0.647518187,0.7206183,a
0.452,105.105,15022.16,11651,0.186,0.882,0.69920591,0.628057117,0.687309898,a
0.452,104.874,14939.551,11780,0.188,0.886,0.695447001,0.622608883,0.70017452,a
0.456,105.296,14854.202,11678.5,0.187,0.885,0.702313926,0.61697994,0.690052356,a
0.453,104.698,14815.368,11730.5,0.188,0.881,0.69258307,0.614418758,0.695238095,a
0.452,104.965,14919.454,11800.5,0.189,0.888,0.696927783,0.621283444,0.702218898,a
0.447,105.492,14581.551,11525,0.184,0.884,0.705503303,0.598998043,0.674744453,a
0.444,104.931,14795.122,11567.5,0.185,0.88,0.696374524,0.613083492,0.678982797,a
0.449,106.996,14816.444,11734,0.188,0.887,0.729976893,0.614489722,0.695587135,a
0.451,105.561,14809.259,11719.5,0.188,0.888,0.706626094,0.614015856,0.694141112,a
0.448,104.7,14466.834,11464,0.183,0.887,0.692615615,0.59143222,0.668661182,a
0.45,105.654,14856.562,11702,0.187,0.888,0.708139421,0.617135587,0.692395911,a
0.446,105.211,14638.138,11740,0.188,0.875,0.700930777,0.602730073,0.69618549,a
0.449,107.224,15152.372,11947.5,0.191,0.886,0.733686985,0.636644868,0.716878584,a
0.447,106.131,14889.104,11849,0.19,0.886,0.715901325,0.619281799,0.707055597,a
0.448,106.128,14971.53,11809,0.189,0.884,0.715852508,0.624717964,0.703066567,a
0.448,106.675,15221.305,11961.5,0.191,0.882,0.724753474,0.641191142,0.718274744,a
0.447,106.646,15106.848,11830,0.189,0.881,0.724281576,0.633642466,0.705160808,a
0.445,107.345,15098.665,11943.5,0.191,0.884,0.735655938,0.63310278,0.716479681,a
0.444,104.373,14849.929,11761.5,0.188,0.893,0.687294562,0.616698127,0.698329594,a
0.442,106.106,15374.149,11982,0.192,0.872,0.715494516,0.65127152,0.720319122,a
0.447,105.761,14878.704,11837.5,0.189,0.881,0.709880561,0.618595898,0.705908751,a
0.444,106.341,15091.351,11857,0.19,0.875,0.719318515,0.632620407,0.707853403,a
0.442,107.087,15389.582,12050,0.193,0.876,0.731457676,0.652289358,0.727100474,a
0.446,107.39,15248.317,11908.5,0.191,0.88,0.736388193,0.642972639,0.712989279,a
0.447,108.211,15312.4,11975.5,0.192,0.872,0.749747779,0.647199045,0.719670905,a
0.447,107.463,15353.518,12083,0.193,0.878,0.737576073,0.649910862,0.730391424,a
0.442,107.727,15206.783,11918,0.191,0.871,0.741871969,0.640233386,0.713936674,a
0.446,108.126,15385.011,12092,0.193,0.881,0.74836463,0.651987891,0.731288955,a
0.446,107.083,15298.938,12064,0.193,0.879,0.731392586,0.646311199,0.728496634,a
0.34,69.568,6736.418,5792,0.093,0.913,0.120935985,0.081595304,0.103016704,a
0.451,107.844,15371.852,12077,0.193,0.883,0.743775832,0.651120028,0.729793069,a
0.443,108.235,15383.459,12012.5,0.192,0.867,0.750138315,0.651885533,0.723360758,a
0.445,108.572,15573.386,12111,0.194,0.877,0.755622091,0.664411612,0.733183745,a
0.444,107.829,15381.898,12024,0.192,0.874,0.743531747,0.651782582,0.724507604,a
0.44,107.285,15407.416,12167,0.195,0.875,0.734679598,0.653465547,0.738768387,a
0.441,108.574,15626.642,12206.5,0.195,0.875,0.755654636,0.667923955,0.742707554,a
0.44,108.921,15510.527,12201,0.195,0.875,0.761301136,0.660265931,0.742159063,a
0.442,109.257,15754.015,12280.5,0.196,0.877,0.76676864,0.676324468,0.75008726,a
0.441,107.978,15525.269,12104,0.194,0.867,0.745956325,0.661238196,0.732485664,a
0.439,109.563,15865.241,12257.5,0.196,0.864,0.771747974,0.683660052,0.747793568,a
0.439,108.731,15403.273,12161,0.195,0.873,0.758209392,0.653192308,0.738170032,a
0.442,110.097,15523.192,12085,0.193,0.883,0.7804374,0.661101214,0.730590875,a
0.444,109.461,15666.226,12288,0.197,0.875,0.770088196,0.670534602,0.750835203,a
0.439,109.243,15768.672,12275,0.196,0.881,0.766540827,0.677291127,0.749538768,a
0.439,109.034,15700.954,12299,0.197,0.875,0.76313991,0.672824985,0.751932186,a
